2011-10-26 19:15:22 Notice: Notice (8): Undefined index: measure in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 46]
2011-10-26 19:15:22 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:16:00 Notice: Notice (8): Undefined index: owner in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 36]
2011-10-26 19:16:00 Notice: Notice (8): Undefined index: measure in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 46]
2011-10-26 19:16:00 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:18:12 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:20:00 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:20:02 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:20:41 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:22:04 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:24:20 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:24:25 Notice: Notice (8): Undefined index: counts in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:25:09 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:25:54 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:26:01 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:27:10 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:28:55 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:31:07 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:31:15 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:53:09 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 21:23:37 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 21:26:57 Notice: Notice (8): Undefined variable: peakMemory in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 36]
2011-10-26 21:26:57 Notice: Notice (8): Undefined variable: requestTime in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 55]
2011-10-26 21:26:59 Notice: Notice (8): Undefined variable: peakMemory in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 36]
2011-10-26 21:26:59 Notice: Notice (8): Undefined variable: requestTime in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 55]
2011-10-26 21:27:01 Notice: Notice (8): Undefined variable: peakMemory in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 36]
2011-10-26 21:27:01 Notice: Notice (8): Undefined variable: requestTime in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 55]
